type,title,synopsis,genre
FILME,2 Filhos De Francisco,"FRANCISCO É UM LAVRADOR QUE SONHA TRANSFORMAR OS FILHOS MIROSMAR E EMIVAL EM UMA FAMOSA DUPLA SERTANEJA. UM EMPRESÁRIO CONSEGUE LANÇA-LOS NO INTERIOR, ATÉ QUE UM ACIDENTE INTERROMPE A CARREIRA DELES. ANOS DEPOIS, MIROSMAR VIRA ZEZE DI CAMARGO, MAS A FAMA SÓ VEM QUANDO ELE SE UNE A OUTRO IRMÃO, O PARCEIRO PERFEITO PARA CONCRETIZAR O SONHO DO PAI. .",Drama
FILME,2 Headed Shark Attack,"Um tubarão mutante de duas cabeças afunda um barco em alto-mar. Sobreviventes do desastre refugiam-se em uma ilha, mas quando a maré começa a subir, ninguém está a salvo.",Ação
FILME,2012,"SEGUNDO O CALENDARIO MAIA, O MUNDO ACABARIA EM 2012. QUANDO EVENTOS ASSUSTADORES COMPROVAM A PREVISAO DELES, OS GOVERNOS TENTAM SALVAR A TERRA ENQUANTO SE PREPARAM PARA O PIOR, SEM CONTAR A VERDADE AO RESTO DA  POPULAAO, MAS UM PAI VAI FAZER DE TUDO E ENFRENTAR TERRIVEIS PERIGOS PARA GA-  RANTIR QUE SUA FAMILIA FIQUE A SALVO. .",Ação Aventura
FILME,2021: O Ano Que Não Começou,"Em tempos de pandemia, um mundo totalmente interligado começou a se desenhar. Esse documentário de Luciano Huck aborda os desafios do presente e futuro com foco em temas como desigualdade, educação, racismo e antirracismo, capitalismo, política, pobreza, tecnologia e família.",Documentário
FILME,21 Rue La Boetie,"Dono da principal galeria de arte da Europa, Paul Rosenberg foi o grande incentivador de Picasso, Braque, Laurencin, Matisse e Léger. Infelizmente, seu acervo foi confiscado pelo Regime Nazista.",Documentário
FILME,3 Headed Shark Attack,Passageiros de um navio lutam para sobreviver ao ataque de um tubarão de três cabeças,Ação
FILME,3100: Run And Become,Documentário que conta a história de três competidores da corrida mais longa do mundo.,Comportamento estilo Vida Documentário De
FILME,45 Years,"Kate está planejando sua festa de 45 anos de casada, quando seu marido descobre que sua ex morreu. Kate já não sabe se vai ter o que comemorar.",Drama
FILME,5 Anos De Ademafia,"O Documentário narra a história dos 5 anos de Ademáfia, através do seu fundador Ademar Lucas. Após sofrer uma lesão, Ademar se juntou com amigos e criou o grupo. Para comemorar os 5 anos, eles viajaram para Barcelona, a meca do skate mundial.",Aventura
FILME,5 Headed Shark Attack,"Paraíso é o lar de várias criaturas marinhas, inclusive do Tubarão de 5 Cabeças. Parecendo uma estrela-do-mar mutante, o monstro assombra o mar aberto antes de invadir Porto Rico.",Ficção-Científica
FILME,5 Vezes Chico: O Velho E Sua Gente,"Cada um dos estados brasileiros banhados pelo rio São Francisco visto pelo olhar de um diretor diferente: às margens do rio encontram a cultura, a vida e a luta pela sobrevivência das comunidades ribeirinhas do ""Velho Chico"".",Documentário
FILME,6 Headed Shark Attack ,O que era pra ser um acampamento de casamento em uma ilha remota se transforma em uma luta por sobrevivência quando um tubarão de 6 cabeças começa a atacar a praia.,Ação
FILME,678,"Fayza, Seba e Nelly vivem no Egito. Todos os dias as três mulheres sofrem com casos de assédio e abuso sexual. Então, elas decidem unir forças para clamar por justiça.",Drama
FILME,7 Adventures Of Sinbad,"Sinbad, o verdadeiro princípe da Pérsia, precisa completar sete tarefas para salvar o mundo de uma catástrofe.",Ação
FILME,7 Cumes: Especial Cotopaxi,"Num ano quando a pandemia fez muitos mudarem seus planos, não foi diferente com o projeto 7 Cumes. Como forma de manter as atividades e treinamento em dia, Gustavo Ziller viaja até o Equador para explorar os vulcões da região, entre eles o Cotopaxi ( 5.897 m )",Aventura
FILME,7 Días En La Habana,"Durante sete dias, sete diretores capturam a vida de diferentes pessoas em Havana. Entre os personagens estão um aspirante a ator e uma mulher que sonha ser cantora.",Drama
FILME,76 Days,"O documentário narra, com uma visão crua, a luta de pacientes e médicos da linha de frente, lutando contra a pandemia do COVID-19 no seu marco zero, em Wuhan, na China.",Documentário
FILME,A Brave Heart: The Lizzie Velasquez Story,"Lizzie Velasquez tem 25 anos, pesa 26 quilos e descobriu ser rotulada como a ""mulher mais feia do mundo"". Vítima de bullying, ela decide lutar por um ambiente online mais positivo.",Documentário
